"thumbnail","title","location","roomType","price/breakDown/basePrice/description","price/breakDown/basePrice/price","price/breakDown/earlyBirdDiscount/description","price/breakDown/earlyBirdDiscount/price","price/breakDown/specialOffer/description","price/breakDown/specialOffer/price","price/breakDown/total/description","price/breakDown/total/price","price/discountedPrice","price/label","price/originalPrice","price/price","price/qualifier","rating/accuracy","rating/checking","rating/cleanliness","rating/communication","rating/guestSatisfaction","rating/location","rating/reviewsCount","rating/value","personCapacity","url"
"https://a0.muscache.com/im/pictures/hosting/Hosting-1543070263640473242/original/cbe28923-7ad7-459b-bfc8-60b4bdd01ffd.jpeg","The Beatitudes Private Resort","Antipolo","Entire guesthouse","5 nights x $367.53","$1,837.66",,,,,"Total (calculated price, may vary)","$1,838",,"$1,838 for 5 nights",,"$1,838","for 5 nights","4.7","5","5","5","5","4.7","3","5","15","https://www.airbnb.com/rooms/1543070263640473242?check_in=2026-06-09&check_out=2026-06-14&adults=1&locale=en-US&currency=USD"
"https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTI2NDcyMjc1NjE0NDIzNDcxMw%3D%3D/original/e2fd6e2b-7bfb-4a04-854d-72589d389874.jpeg","3BR Luxury Home w/ pool Caloocan |Mateo’s Hideaway","Metro Manila","Entire home","5 nights x $218.60","$1,092.98",,,,,"Total (calculated price, may vary)","$1,093",,"$1,093 for 5 nights",,"$1,093","for 5 nights","5","4.9","5","5","4.99","4.7","110","5","16","https://www.airbnb.com/rooms/1264722756144234713?check_in=2026-06-09&check_out=2026-06-14&adults=1&locale=en-US&currency=USD"
"https://a0.muscache.com/im/pictures/hosting/Hosting-1446366994000610771/original/c55b10e3-49dd-4f73-84cd-7e310906fda4.png","Cedar Villas - Private villa in San Mateo Rizal","San Mateo","Entire guesthouse","5 nights x $392.03","$1,960.14",,,,,"Total (calculated price, may vary)","$1,961",,"$1,961 for 5 nights",,"$1,961","for 5 nights","4.9","5","5","5","5","5","11","5","16","https://www.airbnb.com/rooms/1446366994000610771?check_in=2026-06-09&check_out=2026-06-14&adults=1&locale=en-US&currency=USD"
"https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTI5ODkxMTEzODIyNzI3MzY4NA%3D%3D/original/d7e3a493-9065-40c3-90ea-7c85dfa211c0.jpeg","Yassi Cabin","Antipolo","Entire home","5 nights x $566.35","$2,831.76","Price after discount","$2,735.22","Special offer","-$96.54","Total (calculated price, may vary)","$2,736",,"$2,736 for 5 nights",,"$2,736","for 5 nights","4.8","5","4.7","4.9","4.83","4.9","23","4.8","14","https://www.airbnb.com/rooms/1298911138227273684?check_in=2026-06-09&check_out=2026-06-14&adults=1&locale=en-US&currency=USD"
"https://a0.muscache.com/im/pictures/miso/Hosting-918646709487182494/original/ef70fffc-ab21-484a-8c96-89588008f0a0.jpeg","Centrally Located Modern Cozy Home w/ Pool!","Marikina","Entire home","5 nights x $146.07","$730.35",,,,,"Total (calculated price, may vary)","$731",,"$731 for 5 nights",,"$731","for 5 nights","5","5","4.9","4.9","4.96","4.9","93","4.9","10","https://www.airbnb.com/rooms/918646709487182494?check_in=2026-06-09&check_out=2026-06-14&adults=1&locale=en-US&currency=USD"
"https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NTIxNzI1MDQ%3D/original/a1249824-5e83-4530-b466-e6bbced3c57c.jpeg","The Garden Deck w/ Heated Pool & KTV near SM North","Lungsod Quezon","Entire home","5 nights x $223.91","$1,119.56",,,,,"Total (calculated price, may vary)","$1,120",,"$1,120 for 5 nights",,"$1,120","for 5 nights","4.9","5","4.9","4.9","4.89","4.8","339","4.8","16","https://www.airbnb.com/rooms/52172504?check_in=2026-06-09&check_out=2026-06-14&adults=1&locale=en-US&currency=USD"
"https://a0.muscache.com/im/pictures/hosting/Hosting-1684810195195031979/original/0f0d9bc9-f87a-4af4-8a3d-48de35ecb67c.jpeg","Hidden Artist Retreat in Antipolo with City Views","Antipolo","Entire home","5 nights x $122.51","$612.55",,,,,"Total (calculated price, may vary)","$613",,"$613 for 5 nights",,"$613","for 5 nights","5","5","4.7","5","5","5","3","4.7","8","https://www.airbnb.com/rooms/1684810195195031979?check_in=2026-06-09&check_out=2026-06-14&adults=1&locale=en-US&currency=USD"
"https://a0.muscache.com/im/pictures/hosting/Hosting-1363583521189347563/original/0c0f3eda-5fee-4e3b-9367-30698a41af58.jpeg","Party Penthouse for 30 day guests in Cubao, QC","Quezon City","Entire home","5 nights x $236.72","$1,183.60","Price after discount","$1,132.82",,,"Total (calculated price, may vary)","$1,133",,"$1,133 for 5 nights",,"$1,133","for 5 nights","4.9","4.9","4.7","4.9","4.89","4.8","35","4.9","10","https://www.airbnb.com/rooms/1415923675253899669?check_in=2026-06-09&check_out=2026-06-14&adults=1&locale=en-US&currency=USD"
"https://a0.muscache.com/im/pictures/hosting/Hosting-1496320771624269010/original/0fecffd2-e22d-4275-9074-ee5667f2e5c6.png","Cedar Villas - Loft Villa in San Mateo, Rizal","San Mateo","Entire guesthouse","5 nights x $277.81","$1,389.07",,,,,"Total (calculated price, may vary)","$1,390",,"$1,390 for 5 nights",,"$1,390","for 5 nights",,,,,,,"1",,"8","https://www.airbnb.com/rooms/1496320771624269010?check_in=2026-06-09&check_out=2026-06-14&adults=1&locale=en-US&currency=USD"
"https://a0.muscache.com/im/pictures/miso/Hosting-814754036925714137/original/4fff0bef-0363-41ac-b834-686e1fe0a99e.jpeg","Stylish Villa with Heated Pool","Cainta","Entire villa","5 nights x $211.09","$1,055.46",,,,,"Total (calculated price, may vary)","$1,056",,"$1,056 for 5 nights",,"$1,056","for 5 nights","5","5","5","5","5","4.9","64","4.9","6","https://www.airbnb.com/rooms/814754036925714137?check_in=2026-06-09&check_out=2026-06-14&adults=1&locale=en-US&currency=USD"
